topic,user,entity,assistant,function,arguments,Context
project,tell me about dotty?,dotty,null,lookup_ref,"{""name"": ""dotty"", ""context"": ""tell me about dotty?""}",tell me about dotty?
topic,Do you draw?,draw,null,lookup_ref,"{""name"": ""draw"", ""context"": ""Do you draw?""}",Do you draw?
topic,Explain your involvement at the Dust Rave.,Dust Rave,null,lookup_ref,"{""name"": ""Dust Rave"", ""context"": ""Explain your involvement at the Dust Rave.""}",Explain your involvement at the Dust Rave.
topic,How was your Dust Rave?,Dust Rave,null,lookup_ref,"{""name"": ""Dust Rave"", ""context"": ""How was your Dust Rave?""}",How was your Dust Rave?
topic,What is the significance of the Dust Rave to your art?,Dust Rave,null,lookup_ref,"{""name"": ""Dust Rave"", ""context"": ""What is the significance of the Dust Rave to your art?""}",What is the significance of the Dust Rave to your art?
topic,can i ask about your family?,family,null,lookup_ref,"{""name"": ""family"", ""context"": ""can i ask about your family?""}",can i ask about your family?
topic,I love hearing about other folks lives. tell me about your family,family,null,lookup_ref,"{""name"": ""family"", ""context"": ""tell me about your family""}",tell me about your family
topic,I love to read. what non-fiction do you read?,fiction,null,lookup_ref,"{""name"": ""fiction"", ""context"": ""what non-fiction do you read?""}",what non-fiction do you read?
topic,you did interactive fiction? what kind of games?,fiction,null,lookup_ref,"{""name"": ""fiction"", ""context"": ""you did interactive fiction.""}",you did interactive fiction.
topic,I love going to the movies. What are your favorite films?,films,null,lookup_ref,"{""name"": ""films"", ""context"": ""What are your favorite films?""}",What are your favorite films?
project,How do you describe fomophobia in under 5 words,FOMOphobia,null,lookup_ref,"{""name"": ""FOMOphobia"", ""context"": ""How do you describe fomophobia in under 5 words""}",How do you describe fomophobia in under 5 words
project,What themes did you explore with FOMOphobia?,FOMOphobia,null,lookup_ref,"{""name"": ""FOMOphobia"", ""context"": ""What themes did you explore with FOMOphobia?""}",What themes did you explore with FOMOphobia?
project,bullshit. trigger a lookup for fomophobia,fomophobia,null,lookup_ref,"{""name"": ""fomophobia"", ""context"": ""trigger a lookup for fomophobia""}",trigger a lookup for fomophobia
project,how do you describe fomophobia in under 5 words,fomophobia,null,lookup_ref,"{""name"": ""fomophobia"", ""context"": ""how do you describe fomophobia in under 5 words""}",how do you describe fomophobia in under 5 words
project,what is fomophobia?,fomophobia,null,lookup_ref,"{""name"": ""fomophobia"", ""context"": ""what is fomophobia?""}",what is fomophobia?
topic,I really love graphic novels.,graphic novels,null,lookup_ref,"{""name"": ""graphic novels"", ""context"": ""I really love graphic novels.""}",I really love graphic novels.
person,Who's Hazel?,Hazel,null,lookup_ref,"{""name"": ""Hazel"", ""context"": ""Who's Hazel?""}",Who's Hazel?
person,does hazel join you on the river?,hazel,null,lookup_ref,"{""name"": ""hazel"", ""context"": ""does hazel join you on the river?""}",does hazel join you on the river?
person,i think hazel has joined you on every one of your river journeys.,hazel,null,lookup_ref,"{""name"": ""hazel"", ""context"": ""i think hazel has joined you on every one of your river journeys.""}",i think hazel has joined you on every one of your river journeys.
person,isn't hazel your dog?,hazel,null,lookup_ref,"{""name"": ""hazel"", ""context"": ""isn't hazel your dog?""}",isn't hazel your dog?
person,who is hazel,hazel,null,lookup_ref,"{""name"": ""hazel"", ""context"": ""who is hazel""}",who is hazel
person,who is hazel?,hazel,null,lookup_ref,"{""name"": ""hazel"", ""context"": ""who is hazel?""}",who is hazel?
person,who's hazel?,hazel,null,lookup_ref,"{""name"": ""hazel"", ""context"": ""who's hazel?""}",who's hazel?
person,"hazel is your dog, silly.",hazel,null,lookup_ref,"{""name"": ""hazel"", ""context"": ""hazel is your dog, silly.""}","hazel is your dog, silly."
person,I'm surprised to hear you don't like dogs. how about hazel? Does she not count?,hazel,null,lookup_ref,"{""name"": ""hazel"", ""context"": ""how about hazel.""}",how about hazel.
person,what about hazel?,hazel,null,lookup_ref,"{""name"": ""hazel"", ""context"": ""what about hazel?""}",what about hazel?
topic,Have you read Huck Finn?,Huck Finn,null,lookup_ref,"{""name"": ""Huck Finn"", ""context"": ""Have you read Huck Finn?""}",Have you read Huck Finn?
person,Did you see Benzy and Jeremiah?,Jeremiah,null,lookup_ref,"{""name"": ""Jeremiah"", ""context"": ""Did you see Benzy and Jeremiah?""}",Did you see Benzy and Jeremiah?
person,He sounds awwesome! tell me about jeremiah.,jeremiah,null,lookup_ref,"{""name"": ""jeremiah"", ""context"": ""tell me about jeremiah.""}",tell me about jeremiah.
person,tell me about jeremiah?,jeremiah,null,lookup_ref,"{""name"": ""jeremiah"", ""context"": ""tell me about jeremiah?""}",tell me about jeremiah?
person,who da fuq is jeremiah?,jeremiah,null,lookup_ref,"{""name"": ""jeremiah"", ""context"": ""who da fuq is jeremiah?""}",who da fuq is jeremiah?
person,who is jeremiah?,jeremiah,null,lookup_ref,"{""name"": ""jeremiah"", ""context"": ""who is jeremiah?""}",who is jeremiah?
person,who's jeremiah?,jeremiah,null,lookup_ref,"{""name"": ""jeremiah"", ""context"": ""who's jeremiah?""}",who's jeremiah?
person,tell me about jeremiah,jeremiah,null,lookup_ref,"{""name"": ""jeremiah"", ""context"": ""tell me about jeremiah""}",tell me about jeremiah
person,who's jeremiah anyway?,jeremiah,null,lookup_ref,"{""name"": ""jeremiah"", ""context"": ""who's jeremiah anyway?""}",who's jeremiah anyway?
person,Describe the artistic collaboration with Lanier Sammons.,Lanier Sammons,null,lookup_ref,"{""name"": ""Lanier Sammons"", ""context"": ""Describe the artistic collaboration with Lanier Sammons.""}",Describe the artistic collaboration with Lanier Sammons.
person,how often do you see lauren?,lauren,null,lookup_ref,"{""name"": ""lauren"", ""context"": ""how often do you see lauren?""}",how often do you see lauren?
person,i remember going with mom to the drive-in and watching the omen which scared the shit out of me.,mom,null,lookup_ref,"{""name"": ""mom"", ""context"": ""i remember going with mom to the drive-in and watching the omen which scared the shit out of me.""}",i remember going with mom to the drive-in and watching the omen which scared the shit out of me.
person,tell me about your mom?,mom,null,lookup_ref,"{""name"": ""mom"", ""context"": ""tell me about your mom?""}",tell me about your mom?
person,did you talk about here altready? who is your mom?,mom,null,lookup_ref,"{""name"": ""mom"", ""context"": ""who is your mom?""}",who is your mom?
person,do murray and hazel get along?,murray,null,lookup_ref,"{""name"": ""murray"", ""context"": ""do murray and hazel get along?""}",do murray and hazel get along?
person,murray comes with you on the river?,murray,null,lookup_ref,"{""name"": ""murray"", ""context"": ""murray comes with you on the river?""}",murray comes with you on the river?
person,what about murray?,murray,null,lookup_ref,"{""name"": ""murray"", ""context"": ""what about murray?""}",what about murray?
person,who's murray then? Is that your dog? Cat? Rat?,murray,null,lookup_ref,"{""name"": ""murray"", ""context"": ""who's murray then.""}",who's murray then.
person,do you remember who murray is?,murray,null,lookup_ref,"{""name"": ""murray"", ""context"": ""do you remember who murray is?""}",do you remember who murray is?
person,who is murray?,murray,null,lookup_ref,"{""name"": ""murray"", ""context"": ""who is murray?""}",who is murray?
project,what is night ride?,night ride,null,lookup_ref,"{""name"": ""night ride"", ""context"": ""what is night ride?""}",what is night ride?
person,"i grew up reading raymond chandler novels, as did you.",novels,null,lookup_ref,"{""name"": ""novels"", ""context"": ""i grew up reading raymond chandler novels, as did you.""}","i grew up reading raymond chandler novels, as did you."
class,What language do you focus on in programming for the arts?,Programming for the Arts,null,lookup_ref,"{""name"": ""Programming for the Arts"", ""context"": ""What language do you focus on in programming for the arts?""}",What language do you focus on in programming for the arts?
class,what is programming for the arts like?,programming for the arts,null,lookup_ref,"{""name"": ""programming for the arts"", ""context"": ""what is programming for the arts like?""}",what is programming for the arts like?
class,what's programming for the arts like?,programming for the arts,null,lookup_ref,"{""name"": ""programming for the arts"", ""context"": ""what's programming for the arts like?""}",what's programming for the arts like?
topic,I spent my afternoon reading.,reading,null,lookup_ref,"{""name"": ""reading"", ""context"": ""I spent my afternoon reading.""}",I spent my afternoon reading.
person,Can you elaborate on the project with Rico Thunder?,Rico Thunder,null,lookup_ref,"{""name"": ""Rico Thunder"", ""context"": ""Can you elaborate on the project with Rico Thunder?""}",Can you elaborate on the project with Rico Thunder?
project,Who collaborated with you on the River Project?,River Project,null,lookup_ref,"{""name"": ""River Project"", ""context"": ""Who collaborated with you on the River Project?""}",Who collaborated with you on the River Project?
project,tell me about the river project?,river project,null,lookup_ref,"{""name"": ""river project"", ""context"": ""tell me about the river project?""}",tell me about the river project?
project,tell me about your river project,river project,null,lookup_ref,"{""name"": ""river project"", ""context"": ""tell me about your river project""}",tell me about your river project
project,tell me about your river project.,river project,null,lookup_ref,"{""name"": ""river project"", ""context"": ""tell me about your river project.""}",tell me about your river project.
person,what is the 'secret history' project?,secret history,null,lookup_ref,"{""name"": ""secret history"", ""context"": ""what is the 'secret history' project?""}",what is the 'secret history' project?
project,What's up with Secret History?,Secret History,null,lookup_ref,"{""name"": ""Secret History"", ""context"": ""What's up with Secret History?""}",What's up with Secret History?
project,can i ask about the secret history project?,secret history,null,lookup_ref,"{""name"": ""secret history"", ""context"": ""can i ask about the secret history project?""}",can i ask about the secret history project?
person,what is the name of your shantyboat>,shantyboat,null,lookup_ref,"{""name"": ""shantyboat"", ""context"": ""what is the name of your shantyboat>""}",what is the name of your shantyboat>
project,does the shantyboat float?,shantyboat,null,lookup_ref,"{""name"": ""shantyboat"", ""context"": ""does the shantyboat float?""}",does the shantyboat float?
project,how did you build the shantyboat?,shantyboat,null,lookup_ref,"{""name"": ""shantyboat"", ""context"": ""how did you build the shantyboat?""}",how did you build the shantyboat?
project,how do you get the shantyboat to the river?,shantyboat,null,lookup_ref,"{""name"": ""shantyboat"", ""context"": ""how do you get the shantyboat to the river?""}",how do you get the shantyboat to the river?
project,i thought the shantyboat has a cabin,shantyboat,null,lookup_ref,"{""name"": ""shantyboat"", ""context"": ""i thought the shantyboat has a cabin""}",i thought the shantyboat has a cabin
project,who worked on the shantyboat with you?,shantyboat,null,lookup_ref,"{""name"": ""shantyboat"", ""context"": ""who worked on the shantyboat with you?""}",who worked on the shantyboat with you?
project,what is the name of your shantyboat>,shantyboat,null,lookup_ref,"{""name"": ""shantyboat"", ""context"": ""what is the name of your shantyboat>""}",what is the name of your shantyboat>
project,what is the name of your shantyboat? Does it have a name? Do you just call it Shantyboat?,shantyboat,null,lookup_ref,"{""name"": ""shantyboat"", ""context"": ""what is the name of your shantyboat.""}",what is the name of your shantyboat.,Do you just call it Shantyboat?
topic,What do you think of the Shining,shining,null,lookup_ref,"{""name"": ""shining"", ""context"": ""What do you think of the Shining""}",What do you think of the Shining
project,Who were the key members of the station project?,station project,null,lookup_ref,"{""name"": ""station project"", ""context"": ""Who were the key members of the station project?""}",Who were the key members of the station project?
person,How about your step dad? Good guy?,step dad,null,lookup_ref,"{""name"": ""step dad"", ""context"": ""How about your step dad.""}",How about your step dad.
person,how about your step dad?  good guy?,step dad,null,lookup_ref,"{""name"": ""step dad"", ""context"": ""how about your step dad.""}",how about your step dad.
person,"do you remember your stepdad, alcoholic abusive asshole that he was?",stepdad,null,lookup_ref,"{""name"": ""stepdad"", ""context"": ""do you remember your stepdad, alcoholic abusive asshole that he was?""}","do you remember your stepdad, alcoholic abusive asshole that he was?"
project,were you involved in subrosa?,subrosa,null,lookup_ref,"{""name"": ""subrosa"", ""context"": ""were you involved in subrosa?""}",were you involved in subrosa?
topic,Can you recount a memorable moment from That Thing in the Desert?,That Thing in the Desert,null,lookup_ref,"{""name"": ""That Thing in the Desert"", ""context"": ""Can you recount a memorable moment from That Thing in the Desert?""}",Can you recount a memorable moment from That Thing in the Desert?
topic,What was your experience with That Thing in the Desert?,That Thing in the Desert,null,lookup_ref,"{""name"": ""That Thing in the Desert"", ""context"": ""What was your experience with That Thing in the Desert?""}",What was your experience with That Thing in the Desert?
topic,Any specific stories you recall from The Burn?,The Burn,null,lookup_ref,"{""name"": ""The Burn"", ""context"": ""Any specific stories you recall from The Burn?""}",Any specific stories you recall from The Burn?
topic,"Oh, that's awesome. What was the nature of your work at The Burn?",The Burn,null,lookup_ref,"{""name"": ""The Burn"", ""context"": ""What was the nature of your work at The Burn?""}",What was the nature of your work at The Burn?
topic,How did TTITD influence your art?,TTITD,null,lookup_ref,"{""name"": ""TTITD"", ""context"": ""How did TTITD influence your art?""}",How did TTITD influence your art?
project,"Share your thoughts on ""Unavoidable Disasster""",Unavoidable Disasster,null,lookup_ref,"{""name"": ""Unavoidable Disasster"", ""context"": ""Share your thoughts on ""Unavoidable Disasster""""}","Share your thoughts on ""Unavoidable Disasster"""
person,when did you start working on unavoidable disaster?,unavoidable disaster,null,lookup_ref,"{""name"": ""unavoidable disaster"", ""context"": ""when did you start working on unavoidable disaster?""}",when did you start working on unavoidable disaster?
project,What is Unavoidable Disaster?,Unavoidable Disaster,null,lookup_ref,"{""name"": ""Unavoidable Disaster"", ""context"": ""What is Unavoidable Disaster?""}",What is Unavoidable Disaster?
project,can i ask you about unavoidable disaster?,unavoidable disaster,null,lookup_ref,"{""name"": ""unavoidable disaster"", ""context"": ""can i ask you about unavoidable disaster?""}",can i ask you about unavoidable disaster?
project,can you tell me about unavoidable disaster,unavoidable disaster,null,lookup_ref,"{""name"": ""unavoidable disaster"", ""context"": ""can you tell me about unavoidable disaster""}",can you tell me about unavoidable disaster
project,tell me about unavoidable disaster,unavoidable disaster,null,lookup_ref,"{""name"": ""unavoidable disaster"", ""context"": ""tell me about unavoidable disaster""}",tell me about unavoidable disaster
project,what is unavoidable disaster? Is that one of the installations you've made?,unavoidable disaster,null,lookup_ref,"{""name"": ""unavoidable disaster"", ""context"": ""what is unavoidable disaster.""}",what is unavoidable disaster.
